Qty,Designator,Footprint,Comment,LCSC Part#,Description,Value,Device,Package,Parts,Description,BUILT_BY,CAN,CATEGORY,COLOR,COPYRIGHT,CURRENT_RATING,DATASHEET,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,DIGI-KEY_PART_NUMBER_4,DRAIN_CURRENT,ENDSTOP,EXTRUDER,FAN0,FAN1,FAN2,FAN3,FORWARD_CURRENT,LCSCPN#,MANUFACTURER,MANUFACTURER_PART_NUMBER,MFR_NAME,MPN,OPERATING_TEMP,OPERATING_TEMPERATURE,PART_STATUS,POPULARITY,PROD_ID,RATING,REVERSE_VOLTAGE,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SOURCELIBRARY,SUB-CATEGORY,SUBCATEGORY,THERMALLOSS,THERMAL_LOSS,TOLERANCE,TYPE,VALUE,VENDOR,VOLTAGE_RATING,ZENER_VOLTAGE
2,"BOOT, RST",B3U-1000P(M)-B,B3U-X000B3U-1000P(M)-B1000P(M)-B,C231329,Ultra-small Tactile Switch,B3U-1000P(M)-B,B3U-X000B3U-1000P(M)-B1000P(M)-B,B3U-1000P(M)-B,"BOOT, RST",Ultra-small Tactile Switch,,,SWITCH,,,,,Ultra-small Surface-mounting Tactile Switches with High Contact Reliability ,,,,,,,,,,,,,C231329,OMRON,,,,,-25°C to +70°C at 60%RH max,ACTIVE,,,,,,,B3U,,,,,,,Tactile,B3U-1000P(M)-B,,,
4,"D4, D6, D7, D8",SOT23,BAT54S,C47546,,BAT54S,BAT54S,SOT23,"D4, D6, D7, D8",,,,,,,,,,,,,,,,,,,,,,C47546,,,,,,,,,,,,,,,,,,,,,,,,,
3,"M2, M3, M4",SOT23,NMOSFET_BSS123_SOT23-GSD,C19019,N-Channel MOSFET - Popular parts,CJ3400,NMOSFET_BSS123_SOT23-GSD,SOT23,"M2, M3, M4",N-Channel MOSFET - Popular parts,,,Transistor,,,,,MOSFET N-CH 100V 0.17A SOT-23,,,,,170mA,,,,,,,,C19019,ON Semiconductor,,,BSS123L,-55°C ~ 150°C,,Active,,,,,,Yes,,,MOSFET,,360mW,,,N-Channel,BSS123,,,
1,X1,CRYSTAL_3225,CRYSTAL_TAXM12M4RLBDDT2T_3225,C133334,,CRYSTAL_TAXM12M4RLBDDT2T_3225,CRYSTAL_TAXM12M4RLBDDT2T_3225,CRYSTAL_3225,X1,,,,,,,,,,,,,,,,,,,,,,C133334,,,,,,,,,,,,,,,,,,,,,,,,,
1,R13,RESC1005X40,R_CHIP-0402(1005-METRIC),NO-FIT,Resistor Fixed - Generic,DO NOT FIT (10K),R_CHIP-0402(1005-METRIC),RESC1005X40,R13,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,NO-FIT,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,U$4,FDCW2012-2-201TF,FDCW2012-2-201TF,C2836052,,FDCW2012-2-201TF,FDCW2012-2-201TF,FDCW2012-2-201TF,U$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"FD4, FD5, FD6",FIDUCIAL_1MM,FIDUCIAL,,"For use by pick and place machines to calibrate the vision/machine, 1mm",FIDUCIAL,FIDUCIAL,FIDUCIAL_1MM,"FD4, FD5, FD6","For use by pick and place machines to calibrate the vision/machine, 1mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F1,FUSC1608X60N,FUSE_CHIP-0603(1608-METRIC),C261937,Fuse - Generic,FUSE_CHIP-0603(1608-METRIC),FUSE_CHIP-0603(1608-METRIC),FUSC1608X60N,F1,Fuse - Generic,,,Circuit-Protection,,,,,,,,,,,,,,,,,,C261937,,,,,,,,,,,,,,,,Fuse,,,,,,,,,
1,J3,CON_430450400_MOL,430450400CON_430450400_MOL,,,JST-MICROFIT,430450400CON_430450400_MOL,CON_430450400_MOL,J3,,,,,,Copyright (C) 2023 Ultra Librarian. All rights reserved.,,,,,,,,,,,,,,,,,,430450400,Molex Connector Corporation,,,,,,,,,,,,,,,,,,,,,,
1,C_FAN2,JST-XH-02-PACKAGE-LONG-PAD,JST-XH-02-PIN-LONG-PAD,,JST XH Connector 2 Pin,JST-XH,JST-XH-02-PIN-LONG-PAD,JST-XH-02-PACKAGE-LONG-PAD,C_FAN2,JST XH Connector 2 Pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
